"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918611"
"Janssen Vaccines & Prevention B.V","free state","Adults","487589"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1549495"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1247352"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1080935"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","830882"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216210"
"Janssen Vaccines & Prevention B.V","north west","Adults","714282"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751889"
"Pfizer","eastern cape","12-17 Years","108483"
"Pfizer","eastern cape","Adults","1132079"
"Pfizer","free state","12-17 Years","79583"
"Pfizer","free state","Adults","595285"
"Pfizer","gauteng","12-17 Years","170547"
"Pfizer","gauteng","Adults","3397535"
"Pfizer","kwazulu-natal","12-17 Years","131716"
"Pfizer","kwazulu-natal","Adults","1656984"
"Pfizer","limpopo","12-17 Years","96467"
"Pfizer","limpopo","Adults","880850"
"Pfizer","mpumalanga","12-17 Years","49675"
"Pfizer","mpumalanga","Adults","475730"
"Pfizer","northern cape","12-17 Years","14165"
"Pfizer","northern cape","Adults","194435"
"Pfizer","north west","12-17 Years","52806"
"Pfizer","north west","Adults","540595"
"Pfizer","western cape","12-17 Years","53336"
"Pfizer","western cape","Adults","1866026"
