"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535455"
"kwazulu-natal","Private Health","1233192"
"western cape","Private Health","1915246"
"limpopo","Private Health","604869"
"northern cape","Public Health","605358"
"gauteng","Private Health","4556121"
"kwazulu-natal","Public Health","4635495"
"free state","Public Health","1852814"
"north west","Public Health","1779456"
"gauteng","Public Health","5808709"
"mpumalanga","Private Health","405371"
"mpumalanga","Public Health","1912597"
"northern cape","Private Health","157454"
"eastern cape","Private Health","691810"
"western cape","Public Health","3667440"
"limpopo","Public Health","3123923"
"free state","Private Health","398783"
"eastern cape","Public Health","3509345"
