"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","516188"
"kwazulu-natal","Private Health","1192650"
"western cape","Private Health","1849572"
"limpopo","Private Health","575504"
"northern cape","Public Health","549245"
"gauteng","Private Health","4386230"
"kwazulu-natal","Public Health","4259354"
"free state","Public Health","1736249"
"north west","Public Health","1687538"
"gauteng","Public Health","5535459"
"mpumalanga","Private Health","385945"
"mpumalanga","Public Health","1740725"
"northern cape","Private Health","151134"
"eastern cape","Private Health","665789"
"western cape","Public Health","3552487"
"limpopo","Public Health","2907583"
"free state","Private Health","379683"
"eastern cape","Public Health","3236283"
