"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","894653"
"Janssen Vaccines & Prevention B.V","free state","Adults","476483"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1490178"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1197914"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1055717"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","790730"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209803"
"Janssen Vaccines & Prevention B.V","north west","Adults","699328"
"Janssen Vaccines & Prevention B.V","western cape","Adults","734369"
"Pfizer","eastern cape","12-17 Years","65393"
"Pfizer","eastern cape","Adults","1089173"
"Pfizer","free state","12-17 Years","64466"
"Pfizer","free state","Adults","572273"
"Pfizer","gauteng","12-17 Years","144963"
"Pfizer","gauteng","Adults","3299143"
"Pfizer","kwazulu-natal","12-17 Years","84721"
"Pfizer","kwazulu-natal","Adults","1579901"
"Pfizer","limpopo","12-17 Years","68218"
"Pfizer","limpopo","Adults","851299"
"Pfizer","mpumalanga","12-17 Years","33849"
"Pfizer","mpumalanga","Adults","452383"
"Pfizer","northern cape","12-17 Years","8000"
"Pfizer","northern cape","Adults","186353"
"Pfizer","north west","12-17 Years","43203"
"Pfizer","north west","Adults","523476"
"Pfizer","western cape","12-17 Years","48808"
"Pfizer","western cape","Adults","1830417"
