"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","892167"
"Janssen Vaccines & Prevention B.V","free state","Adults","475396"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1485139"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1194503"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1053268"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","787838"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209303"
"Janssen Vaccines & Prevention B.V","north west","Adults","697538"
"Janssen Vaccines & Prevention B.V","western cape","Adults","733041"
"Pfizer","eastern cape","12-17 Years","60923"
"Pfizer","eastern cape","Adults","1086244"
"Pfizer","free state","12-17 Years","62574"
"Pfizer","free state","Adults","570810"
"Pfizer","gauteng","12-17 Years","140934"
"Pfizer","gauteng","Adults","3291081"
"Pfizer","kwazulu-natal","12-17 Years","79446"
"Pfizer","kwazulu-natal","Adults","1574684"
"Pfizer","limpopo","12-17 Years","66088"
"Pfizer","limpopo","Adults","848766"
"Pfizer","mpumalanga","12-17 Years","32277"
"Pfizer","mpumalanga","Adults","451099"
"Pfizer","northern cape","12-17 Years","7826"
"Pfizer","northern cape","Adults","185969"
"Pfizer","north west","12-17 Years","41580"
"Pfizer","north west","Adults","522038"
"Pfizer","western cape","12-17 Years","48558"
"Pfizer","western cape","Adults","1827755"
