"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10686","4841","15527"
"National","eastern cape","Private Health","Male","8885","3702","12587"
"National","eastern cape","Public Health","Female","124563","31497","156060"
"National","eastern cape","Public Health","Male","100279","20883","121162"
"National","free state","Private Health","Female","8917","3932","12849"
"National","free state","Private Health","Male","7275","2998","10273"
"National","free state","Public Health","Female","78679","32198","110877"
"National","free state","Public Health","Male","66832","23446","90278"
"National","gauteng","Private Health","Female","54189","28514","82703"
"National","gauteng","Private Health","Male","49211","24183","73394"
"National","gauteng","Public Health","Female","149011","50929","199940"
"National","gauteng","Public Health","Male","117576","37308","154884"
"National","kwazulu-natal","Private Health","Female","17469","9330","26799"
"National","kwazulu-natal","Private Health","Male","15740","7850","23590"
"National","kwazulu-natal","Public Health","Female","125122","38750","163872"
"National","kwazulu-natal","Public Health","Male","84734","23516","108250"
"National","limpopo","Private Health","Female","10792","4482","15274"
"National","limpopo","Private Health","Male","8467","3213","11680"
"National","limpopo","Public Health","Female","117157","33405","150562"
"National","limpopo","Public Health","Male","98402","24988","123390"
"National","mpumalanga","Private Health","Female","4035","1597","5632"
"National","mpumalanga","Private Health","Male","3518","1380","4898"
"National","mpumalanga","Public Health","Female","65784","17022","82806"
"National","mpumalanga","Public Health","Male","55223","12278","67501"
"National","northern cape","Private Health","Female","2137","992","3129"
"National","northern cape","Private Health","Male","1942","730","2672"
"National","northern cape","Public Health","Female","12276","3488","15764"
"National","northern cape","Public Health","Male","9825","2616","12441"
"National","north west","Private Health","Female","5263","2320","7583"
"National","north west","Private Health","Male","4735","1938","6673"
"National","north west","Public Health","Female","73433","21776","95209"
"National","north west","Public Health","Male","60650","15546","76196"
"National","western cape","Private Health","Female","23686","11697","35383"
"National","western cape","Private Health","Male","21118","9949","31067"
"National","western cape","Public Health","Female","46656","14831","61487"
"National","western cape","Public Health","Male","38703","12081","50784"
