"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","513747"
"kwazulu-natal","Private Health","1187940"
"western cape","Private Health","1842597"
"limpopo","Private Health","572303"
"northern cape","Public Health","545824"
"gauteng","Private Health","4368980"
"kwazulu-natal","Public Health","4229652"
"free state","Public Health","1725292"
"north west","Public Health","1676402"
"gauteng","Public Health","5507872"
"mpumalanga","Private Health","384693"
"mpumalanga","Public Health","1727452"
"northern cape","Private Health","150500"
"eastern cape","Private Health","663234"
"western cape","Public Health","3542808"
"limpopo","Public Health","2885792"
"free state","Private Health","378133"
"eastern cape","Public Health","3208832"
