"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","508646"
"kwazulu-natal","Private Health","1178697"
"western cape","Private Health","1825538"
"limpopo","Private Health","566546"
"northern cape","Public Health","539798"
"gauteng","Private Health","4330984"
"kwazulu-natal","Public Health","4177908"
"free state","Public Health","1701641"
"north west","Public Health","1657003"
"gauteng","Public Health","5453965"
"mpumalanga","Private Health","381625"
"mpumalanga","Public Health","1702895"
"northern cape","Private Health","149196"
"eastern cape","Private Health","657417"
"western cape","Public Health","3522213"
"limpopo","Public Health","2847444"
"free state","Private Health","373378"
"eastern cape","Public Health","3164433"
