"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536171"
"kwazulu-natal","Private Health","1234585"
"western cape","Private Health","1919218"
"limpopo","Private Health","607052"
"northern cape","Public Health","606456"
"gauteng","Private Health","4563559"
"kwazulu-natal","Public Health","4646936"
"free state","Public Health","1857847"
"north west","Public Health","1781793"
"gauteng","Public Health","5819573"
"mpumalanga","Private Health","405737"
"mpumalanga","Public Health","1919548"
"northern cape","Private Health","157637"
"eastern cape","Private Health","693411"
"western cape","Public Health","3673059"
"limpopo","Public Health","3132648"
"limpopo","","11"
"free state","Private Health","399587"
"eastern cape","Public Health","3521830"
