"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10354","5085","15439"
"National","eastern cape","Private Health","Male","8768","3957","12725"
"National","eastern cape","Public Health","Female","146556","55944","202500"
"National","eastern cape","Public Health","Male","120427","39872","160299"
"National","free state","Private Health","Female","9169","4616","13785"
"National","free state","Private Health","Male","7554","3558","11112"
"National","free state","Public Health","Female","83550","40645","124195"
"National","free state","Public Health","Male","71441","30541","101982"
"National","gauteng","Private Health","Female","53288","30296","83584"
"National","gauteng","Private Health","Male","48951","26012","74963"
"National","gauteng","Public Health","Female","162236","65837","228073"
"National","gauteng","Public Health","Male","128265","48402","176667"
"National","kwazulu-natal","Private Health","Female","16961","9622","26583"
"National","kwazulu-natal","Private Health","Male","15400","8245","23645"
"National","kwazulu-natal","Public Health","Female","157332","69629","226961"
"National","kwazulu-natal","Public Health","Male","107230","42292","149522"
"National","limpopo","Private Health","Female","11784","5182","16966"
"National","limpopo","Private Health","Male","9195","3634","12829"
"National","limpopo","Public Health","Female","143221","49322","192543"
"National","limpopo","Public Health","Male","123875","36822","160697"
"National","mpumalanga","Private Health","Female","3965","1718","5683"
"National","mpumalanga","Private Health","Male","3453","1525","4978"
"National","mpumalanga","Public Health","Female","76735","27022","103757"
"National","mpumalanga","Public Health","Male","63327","18637","81964"
"National","northern cape","Private Health","Female","2125","1049","3174"
"National","northern cape","Private Health","Male","1949","814","2763"
"National","northern cape","Public Health","Female","17994","6998","24992"
"National","northern cape","Public Health","Male","14110","5127","19237"
"National","north west","Private Health","Female","5186","2413","7599"
"National","north west","Private Health","Male","4701","2040","6741"
"National","north west","Public Health","Female","78419","27978","106397"
"National","north west","Public Health","Male","65045","20360","85405"
"National","western cape","Private Health","Female","23335","12693","36028"
"National","western cape","Private Health","Male","21078","10978","32056"
"National","western cape","Public Health","Female","47398","16131","63529"
"National","western cape","Public Health","Male","39627","13260","52887"
