"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534976"
"kwazulu-natal","Private Health","1232046"
"western cape","Private Health","1913119"
"limpopo","Private Health","603054"
"northern cape","Public Health","604269"
"gauteng","Private Health","4550887"
"kwazulu-natal","Public Health","4622107"
"free state","Public Health","1848718"
"north west","Public Health","1777469"
"gauteng","Public Health","5799969"
"mpumalanga","Private Health","404856"
"mpumalanga","Public Health","1906744"
"northern cape","Private Health","157058"
"eastern cape","Private Health","690424"
"western cape","Public Health","3662142"
"limpopo","Public Health","3115837"
"free state","Private Health","398460"
"eastern cape","Public Health","3494528"
