"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","917839"
"Janssen Vaccines & Prevention B.V","free state","Adults","487345"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1547231"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1245739"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1079951"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","829764"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216065"
"Janssen Vaccines & Prevention B.V","north west","Adults","713847"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751170"
"Pfizer","eastern cape","12-17 Years","104858"
"Pfizer","eastern cape","Adults","1129642"
"Pfizer","free state","12-17 Years","79360"
"Pfizer","free state","Adults","594212"
"Pfizer","gauteng","12-17 Years","170547"
"Pfizer","gauteng","Adults","3393564"
"Pfizer","kwazulu-natal","12-17 Years","129788"
"Pfizer","kwazulu-natal","Adults","1653400"
"Pfizer","limpopo","12-17 Years","94960"
"Pfizer","limpopo","Adults","879169"
"Pfizer","mpumalanga","12-17 Years","48902"
"Pfizer","mpumalanga","Adults","474737"
"Pfizer","northern cape","12-17 Years","13988"
"Pfizer","northern cape","Adults","194166"
"Pfizer","north west","12-17 Years","52791"
"Pfizer","north west","Adults","539978"
"Pfizer","western cape","12-17 Years","53062"
"Pfizer","western cape","Adults","1864572"
