"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","94"
"Janssen Vaccines & Prevention B.V","free state","Adults","32"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","277"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","212"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","95"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","141"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","18"
"Janssen Vaccines & Prevention B.V","north west","Adults","45"
"Janssen Vaccines & Prevention B.V","western cape","Adults","117"
"Pfizer","eastern cape","12-17 Years","547"
"Pfizer","eastern cape","Adults","297"
"Pfizer","free state","12-17 Years","65"
"Pfizer","free state","Adults","110"
"Pfizer","gauteng","12-17 Years","126"
"Pfizer","gauteng","Adults","369"
"Pfizer","kwazulu-natal","12-17 Years","263"
"Pfizer","kwazulu-natal","Adults","286"
"Pfizer","limpopo","12-17 Years","158"
"Pfizer","limpopo","Adults","131"
"Pfizer","mpumalanga","12-17 Years","114"
"Pfizer","mpumalanga","Adults","109"
"Pfizer","northern cape","12-17 Years","14"
"Pfizer","northern cape","Adults","13"
"Pfizer","north west","12-17 Years","8"
"Pfizer","north west","Adults","52"
"Pfizer","western cape","12-17 Years","31"
"Pfizer","western cape","Adults","169"
