"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","98"
"eastern cape","Public Health","2216"
"free state","Private Health","80"
"free state","Public Health","505"
"gauteng","Private Health","725"
"gauteng","Public Health","1105"
"kwazulu-natal","Private Health","208"
"kwazulu-natal","Public Health","1382"
"limpopo","Private Health","218"
"limpopo","Public Health","948"
"mpumalanga","Private Health","95"
"mpumalanga","Public Health","727"
"northern cape","Private Health","9"
"northern cape","Public Health","142"
"north west","Private Health","104"
"north west","Public Health","162"
"western cape","Private Health","316"
"western cape","Public Health","571"
