"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","527970"
"kwazulu-natal","Private Health","1214002"
"western cape","Private Health","1885506"
"limpopo","Private Health","590284"
"northern cape","Public Health","575136"
"gauteng","Private Health","4474072"
"kwazulu-natal","Public Health","4466684"
"free state","Public Health","1799792"
"north west","Public Health","1743154"
"gauteng","Public Health","5695620"
"mpumalanga","Private Health","393945"
"mpumalanga","Public Health","1823033"
"northern cape","Private Health","154667"
"eastern cape","Private Health","679134"
"western cape","Public Health","3612739"
"limpopo","Public Health","3037280"
"free state","Private Health","391330"
"eastern cape","Public Health","3382195"
