"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10649","5062","15711"
"National","eastern cape","Private Health","Male","8923","3892","12815"
"National","eastern cape","Public Health","Female","143483","48287","191770"
"National","eastern cape","Public Health","Male","116841","33608","150449"
"National","free state","Private Health","Female","9198","4378","13576"
"National","free state","Private Health","Male","7494","3343","10837"
"National","free state","Public Health","Female","84048","38703","122751"
"National","free state","Public Health","Male","71801","28947","100748"
"National","gauteng","Private Health","Female","54033","29594","83627"
"National","gauteng","Private Health","Male","49378","25202","74580"
"National","gauteng","Public Health","Female","162334","63347","225681"
"National","gauteng","Public Health","Male","128012","46253","174265"
"National","kwazulu-natal","Private Health","Female","17436","9642","27078"
"National","kwazulu-natal","Private Health","Male","15733","8178","23911"
"National","kwazulu-natal","Public Health","Female","152003","59618","211621"
"National","kwazulu-natal","Public Health","Male","103254","36114","139368"
"National","limpopo","Private Health","Female","11687","5042","16729"
"National","limpopo","Private Health","Male","9054","3498","12552"
"National","limpopo","Public Health","Female","137254","44450","181704"
"National","limpopo","Public Health","Male","117297","33237","150534"
"National","mpumalanga","Private Health","Female","4040","1676","5716"
"National","mpumalanga","Private Health","Male","3523","1462","4985"
"National","mpumalanga","Public Health","Female","74417","23892","98309"
"National","mpumalanga","Public Health","Male","61768","16845","78613"
"National","northern cape","Private Health","Female","2142","1032","3174"
"National","northern cape","Private Health","Male","1958","777","2735"
"National","northern cape","Public Health","Female","16471","5148","21619"
"National","northern cape","Public Health","Male","12952","3826","16778"
"National","north west","Private Health","Female","5270","2400","7670"
"National","north west","Private Health","Male","4761","2008","6769"
"National","north west","Public Health","Female","79100","27216","106316"
"National","north west","Public Health","Male","65349","19502","84851"
"National","western cape","Private Health","Female","23734","12316","36050"
"National","western cape","Private Health","Male","21299","10611","31910"
"National","western cape","Public Health","Female","47090","15511","62601"
"National","western cape","Public Health","Male","39142","12625","51767"
