"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","51"
"eastern cape","Public Health","2262"
"free state","Private Health","17"
"free state","Public Health","789"
"gauteng","Private Health","479"
"gauteng","Public Health","1244"
"kwazulu-natal","Private Health","116"
"kwazulu-natal","Public Health","1639"
"limpopo","Private Health","367"
"limpopo","Public Health","1676"
"mpumalanga","Private Health","51"
"mpumalanga","Public Health","879"
"northern cape","Private Health","21"
"northern cape","Public Health","223"
"north west","Private Health","63"
"north west","Public Health","174"
"western cape","Private Health","151"
"western cape","Public Health","781"
