"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","528771"
"kwazulu-natal","Private Health","1215684"
"western cape","Private Health","1888536"
"limpopo","Private Health","591664"
"northern cape","Public Health","578067"
"gauteng","Private Health","4481267"
"kwazulu-natal","Public Health","4488980"
"free state","Public Health","1805262"
"north west","Public Health","1748449"
"gauteng","Public Health","5710845"
"mpumalanga","Private Health","394832"
"mpumalanga","Public Health","1832656"
"northern cape","Private Health","154917"
"eastern cape","Private Health","680267"
"western cape","Public Health","3617752"
"limpopo","Public Health","3052458"
"free state","Private Health","392197"
"eastern cape","Public Health","3395851"
