"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","162"
"eastern cape","Public Health","2346"
"free state","Private Health","71"
"free state","Public Health","1065"
"gauteng","Private Health","1183"
"gauteng","Public Health","1830"
"kwazulu-natal","Private Health","291"
"kwazulu-natal","Public Health","1849"
"limpopo","Private Health","196"
"limpopo","Public Health","1259"
"mpumalanga","Private Health","291"
"mpumalanga","Public Health","1605"
"northern cape","Private Health","47"
"northern cape","Public Health","753"
"north west","Private Health","154"
"north west","Public Health","579"
"western cape","Private Health","515"
"western cape","Public Health","754"
