"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","145","0","331","476"
"Janssen Vaccines & Prevention B.V","free state","Adults","106","0","283","389"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","389","0","297","686"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","382","0","271","653"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","162","0","330","492"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","454","0","495","949"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","96","0","237","333"
"Janssen Vaccines & Prevention B.V","north west","Adults","87","0","177","264"
"Janssen Vaccines & Prevention B.V","western cape","Adults","144","0","158","302"
"Pfizer","eastern cape","12-17 Years","74","93","0","167"
"Pfizer","eastern cape","Adults","346","539","980","1865"
"Pfizer","free state","12-17 Years","34","54","0","88"
"Pfizer","free state","Adults","133","231","295","659"
"Pfizer","gauteng","12-17 Years","104","175","0","279"
"Pfizer","gauteng","Adults","590","680","778","2048"
"Pfizer","kwazulu-natal","12-17 Years","92","88","0","180"
"Pfizer","kwazulu-natal","Adults","354","490","463","1307"
"Pfizer","limpopo","12-17 Years","95","98","0","193"
"Pfizer","limpopo","Adults","185","242","343","770"
"Pfizer","mpumalanga","12-17 Years","63","52","0","115"
"Pfizer","mpumalanga","Adults","185","226","421","832"
"Pfizer","northern cape","12-17 Years","38","42","0","80"
"Pfizer","northern cape","Adults","123","118","146","387"
"Pfizer","north west","12-17 Years","31","25","0","56"
"Pfizer","north west","Adults","93","154","166","413"
"Pfizer","western cape","12-17 Years","22","50","0","72"
"Pfizer","western cape","Adults","174","256","465","895"
