"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","8"
"eastern cape","Public Health","33"
"free state","Private Health","2"
"free state","Public Health","4"
"gauteng","Private Health","280"
"gauteng","Public Health","131"
"kwazulu-natal","Private Health","28"
"kwazulu-natal","Public Health","144"
"limpopo","Private Health","30"
"limpopo","Public Health","11"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","44"
"northern cape","Private Health","6"
"north west","Private Health","11"
"north west","Public Health","111"
"western cape","Private Health","78"
"western cape","Public Health","25"
