"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","95","0","132","227"
"Janssen Vaccines & Prevention B.V","free state","Adults","22","0","76","98"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","400","0","222","622"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","152","0","167","319"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","111","0","188","299"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","115","0","156","271"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","59","0","58","117"
"Janssen Vaccines & Prevention B.V","north west","Adults","117","0","164","281"
"Janssen Vaccines & Prevention B.V","western cape","Adults","120","0","109","229"
"Pfizer","eastern cape","12-17 Years","352","342","0","694"
"Pfizer","eastern cape","Adults","303","416","520","1239"
"Pfizer","free state","12-17 Years","24","5","0","29"
"Pfizer","free state","Adults","41","72","116","229"
"Pfizer","gauteng","12-17 Years","45","35","0","80"
"Pfizer","gauteng","Adults","285","315","343","943"
"Pfizer","kwazulu-natal","12-17 Years","26","27","0","53"
"Pfizer","kwazulu-natal","Adults","149","139","103","391"
"Pfizer","limpopo","12-17 Years","367","121","0","488"
"Pfizer","limpopo","Adults","194","186","209","589"
"Pfizer","mpumalanga","12-17 Years","84","110","0","194"
"Pfizer","mpumalanga","Adults","37","86","52","175"
"Pfizer","northern cape","12-17 Years","11","46","0","57"
"Pfizer","northern cape","Adults","71","43","40","154"
"Pfizer","north west","12-17 Years","31","11","0","42"
"Pfizer","north west","Adults","54","95","155","304"
"Pfizer","western cape","12-17 Years","10","6","0","16"
"Pfizer","western cape","Adults","110","127","160","397"
