"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","19"
"eastern cape","Public Health","2141"
"free state","Private Health","22"
"free state","Public Health","334"
"gauteng","Private Health","245"
"gauteng","Public Health","1400"
"kwazulu-natal","Private Health","14"
"kwazulu-natal","Public Health","749"
"limpopo","Private Health","58"
"limpopo","Public Health","1318"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","637"
"northern cape","Private Health","2"
"northern cape","Public Health","326"
"north west","Private Health","28"
"north west","Public Health","599"
"western cape","Private Health","31"
"western cape","Public Health","611"
