"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","509567"
"kwazulu-natal","Private Health","1179970"
"western cape","Private Health","1828195"
"limpopo","Private Health","567351"
"northern cape","Public Health","540933"
"gauteng","Private Health","4337238"
"kwazulu-natal","Public Health","4187836"
"free state","Public Health","1706410"
"north west","Public Health","1660649"
"gauteng","Public Health","5463504"
"mpumalanga","Private Health","382153"
"mpumalanga","Public Health","1707114"
"northern cape","Private Health","149405"
"eastern cape","Private Health","658432"
"western cape","Public Health","3526197"
"limpopo","Public Health","2854725"
"free state","Private Health","374045"
"eastern cape","Public Health","3173033"
