"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","888951"
"Janssen Vaccines & Prevention B.V","free state","Adults","473619"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1476931"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1189208"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1049356"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","783330"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208688"
"Janssen Vaccines & Prevention B.V","north west","Adults","694915"
"Janssen Vaccines & Prevention B.V","western cape","Adults","730690"
"Pfizer","eastern cape","12-17 Years","54826"
"Pfizer","eastern cape","Adults","1081915"
"Pfizer","free state","12-17 Years","59257"
"Pfizer","free state","Adults","568123"
"Pfizer","gauteng","12-17 Years","134652"
"Pfizer","gauteng","Adults","3276902"
"Pfizer","kwazulu-natal","12-17 Years","72496"
"Pfizer","kwazulu-natal","Adults","1566872"
"Pfizer","limpopo","12-17 Years","62518"
"Pfizer","limpopo","Adults","845004"
"Pfizer","mpumalanga","12-17 Years","30216"
"Pfizer","mpumalanga","Adults","448805"
"Pfizer","northern cape","12-17 Years","7549"
"Pfizer","northern cape","Adults","185347"
"Pfizer","north west","12-17 Years","39462"
"Pfizer","north west","Adults","519522"
"Pfizer","western cape","12-17 Years","47854"
"Pfizer","western cape","Adults","1822845"
