"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10687","4568","15255"
"National","eastern cape","Private Health","Male","8872","3470","12342"
"National","eastern cape","Public Health","Female","113248","21986","135234"
"National","eastern cape","Public Health","Male","90859","14458","105317"
"National","free state","Private Health","Female","8729","3621","12350"
"National","free state","Private Health","Male","7086","2771","9857"
"National","free state","Public Health","Female","74726","27162","101888"
"National","free state","Public Health","Male","63088","19466","82554"
"National","gauteng","Private Health","Female","54083","26933","81016"
"National","gauteng","Private Health","Male","48911","22579","71490"
"National","gauteng","Public Health","Female","142754","41953","184707"
"National","gauteng","Public Health","Male","112372","30949","143321"
"National","kwazulu-natal","Private Health","Female","17557","8982","26539"
"National","kwazulu-natal","Private Health","Male","15747","7603","23350"
"National","kwazulu-natal","Public Health","Female","114945","26894","141839"
"National","kwazulu-natal","Public Health","Male","77939","16838","94777"
"National","limpopo","Private Health","Female","10211","4152","14363"
"National","limpopo","Private Health","Male","8134","3005","11139"
"National","limpopo","Public Health","Female","109732","27921","137653"
"National","limpopo","Public Health","Male","91992","21076","113068"
"National","mpumalanga","Private Health","Female","4034","1504","5538"
"National","mpumalanga","Private Health","Male","3504","1296","4800"
"National","mpumalanga","Public Health","Female","59234","13555","72789"
"National","mpumalanga","Public Health","Male","49293","9870","59163"
"National","northern cape","Private Health","Female","2131","942","3073"
"National","northern cape","Private Health","Male","1914","684","2598"
"National","northern cape","Public Health","Female","10998","3204","14202"
"National","northern cape","Public Health","Male","8825","2423","11248"
"National","north west","Private Health","Female","5216","2158","7374"
"National","north west","Private Health","Male","4687","1806","6493"
"National","north west","Public Health","Female","69854","17381","87235"
"National","north west","Public Health","Male","58107","12534","70641"
"National","western cape","Private Health","Female","23622","11205","34827"
"National","western cape","Private Health","Male","20957","9423","30380"
"National","western cape","Public Health","Female","46643","14430","61073"
"National","western cape","Public Health","Male","38492","11708","50200"
