"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","494416"
"kwazulu-natal","Private Health","1153628"
"western cape","Private Health","1778954"
"limpopo","Private Health","548222"
"northern cape","Public Health","527910"
"gauteng","Private Health","4216935"
"kwazulu-natal","Public Health","4060419"
"free state","Public Health","1648081"
"north west","Public Health","1597995"
"gauteng","Public Health","5322302"
"mpumalanga","Private Health","373863"
"mpumalanga","Public Health","1630186"
"northern cape","Private Health","144915"
"eastern cape","Private Health","640769"
"western cape","Public Health","3467271"
"limpopo","Public Health","2769456"
"free state","Private Health","361584"
"eastern cape","Public Health","3067333"
