"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","488157"
"kwazulu-natal","Private Health","1141432"
"western cape","Private Health","1757325"
"limpopo","Private Health","540105"
"northern cape","Public Health","523952"
"gauteng","Private Health","4162513"
"kwazulu-natal","Public Health","4015264"
"free state","Public Health","1623810"
"north west","Public Health","1578389"
"gauteng","Public Health","5259187"
"mpumalanga","Private Health","370140"
"mpumalanga","Public Health","1605746"
"northern cape","Private Health","143098"
"eastern cape","Private Health","633398"
"western cape","Public Health","3438691"
"limpopo","Public Health","2735786"
"free state","Private Health","356164"
"eastern cape","Public Health","3032544"
