"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","499715"
"kwazulu-natal","Private Health","1165765"
"western cape","Private Health","1797810"
"limpopo","Private Health","554925"
"northern cape","Public Health","532564"
"gauteng","Private Health","4263913"
"kwazulu-natal","Public Health","4105166"
"free state","Public Health","1666446"
"north west","Public Health","1618763"
"gauteng","Public Health","5366365"
"mpumalanga","Private Health","376906"
"mpumalanga","Public Health","1655001"
"northern cape","Private Health","146766"
"eastern cape","Private Health","646899"
"western cape","Public Health","3488500"
"limpopo","Public Health","2794280"
"free state","Private Health","366281"
"eastern cape","Public Health","3100916"
