"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10667","4368","15035"
"National","eastern cape","Private Health","Male","8861","3351","12212"
"National","eastern cape","Public Health","Female","110052","18047","128099"
"National","eastern cape","Public Health","Male","88387","12020","100407"
"National","free state","Private Health","Female","8688","3343","12031"
"National","free state","Private Health","Male","7030","2500","9530"
"National","free state","Public Health","Female","73554","25277","98831"
"National","free state","Public Health","Male","62052","18109","80161"
"National","gauteng","Private Health","Female","53960","25829","79789"
"National","gauteng","Private Health","Male","48691","21665","70356"
"National","gauteng","Public Health","Female","141232","38563","179795"
"National","gauteng","Public Health","Male","111184","28532","139716"
"National","kwazulu-natal","Private Health","Female","17579","8767","26346"
"National","kwazulu-natal","Private Health","Male","15745","7398","23143"
"National","kwazulu-natal","Public Health","Female","111634","22312","133946"
"National","kwazulu-natal","Public Health","Male","75839","14323","90162"
"National","limpopo","Private Health","Female","10132","3968","14100"
"National","limpopo","Private Health","Male","8048","2880","10928"
"National","limpopo","Public Health","Female","108048","26070","134118"
"National","limpopo","Public Health","Male","90423","19564","109987"
"National","mpumalanga","Private Health","Female","4039","1444","5483"
"National","mpumalanga","Private Health","Male","3489","1244","4733"
"National","mpumalanga","Public Health","Female","56183","11644","67827"
"National","mpumalanga","Public Health","Male","45912","8370","54282"
"National","northern cape","Private Health","Female","2122","917","3039"
"National","northern cape","Private Health","Male","1890","672","2562"
"National","northern cape","Public Health","Female","10907","2946","13853"
"National","northern cape","Public Health","Male","8759","2190","10949"
"National","north west","Private Health","Female","5202","2072","7274"
"National","north west","Private Health","Male","4660","1732","6392"
"National","north west","Public Health","Female","67550","15132","82682"
"National","north west","Public Health","Male","56393","10909","67302"
"National","western cape","Private Health","Female","23534","10739","34273"
"National","western cape","Private Health","Male","20871","9011","29882"
"National","western cape","Public Health","Female","46557","13981","60538"
"National","western cape","Public Health","Male","38427","11345","49772"
