"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","489260"
"kwazulu-natal","Private Health","1143876"
"western cape","Private Health","1761613"
"limpopo","Private Health","541807"
"northern cape","Public Health","524579"
"gauteng","Private Health","4172878"
"kwazulu-natal","Public Health","4025703"
"free state","Public Health","1628689"
"north west","Public Health","1582098"
"gauteng","Public Health","5271728"
"mpumalanga","Private Health","370922"
"mpumalanga","Public Health","1610746"
"northern cape","Private Health","143452"
"eastern cape","Private Health","634903"
"western cape","Public Health","3444419"
"limpopo","Public Health","2742444"
"free state","Private Health","357143"
"eastern cape","Public Health","3039433"
