"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","875989"
"Janssen Vaccines & Prevention B.V","free state","Adults","466176"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1444575"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1168742"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1035280"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","764179"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206412"
"Janssen Vaccines & Prevention B.V","north west","Adults","684270"
"Janssen Vaccines & Prevention B.V","western cape","Adults","720953"
"Pfizer","eastern cape","12-17 Years","35684"
"Pfizer","eastern cape","Adults","1063094"
"Pfizer","free state","12-17 Years","46227"
"Pfizer","free state","Adults","556774"
"Pfizer","gauteng","12-17 Years","106258"
"Pfizer","gauteng","Adults","3202523"
"Pfizer","kwazulu-natal","12-17 Years","49821"
"Pfizer","kwazulu-natal","Adults","1533324"
"Pfizer","limpopo","12-17 Years","49135"
"Pfizer","limpopo","Adults","829961"
"Pfizer","mpumalanga","12-17 Years","21321"
"Pfizer","mpumalanga","Adults","438012"
"Pfizer","northern cape","12-17 Years","6397"
"Pfizer","northern cape","Adults","182303"
"Pfizer","north west","12-17 Years","28427"
"Pfizer","north west","Adults","507357"
"Pfizer","western cape","12-17 Years","42920"
"Pfizer","western cape","Adults","1799108"
