"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883070"
"Janssen Vaccines & Prevention B.V","free state","Adults","470096"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1462970"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1180335"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1042895"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","774644"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207555"
"Janssen Vaccines & Prevention B.V","north west","Adults","689752"
"Janssen Vaccines & Prevention B.V","western cape","Adults","725959"
"Pfizer","eastern cape","12-17 Years","44482"
"Pfizer","eastern cape","Adults","1073804"
"Pfizer","free state","12-17 Years","53020"
"Pfizer","free state","Adults","562990"
"Pfizer","gauteng","12-17 Years","122414"
"Pfizer","gauteng","Adults","3246139"
"Pfizer","kwazulu-natal","12-17 Years","60317"
"Pfizer","kwazulu-natal","Adults","1552153"
"Pfizer","limpopo","12-17 Years","56154"
"Pfizer","limpopo","Adults","838239"
"Pfizer","mpumalanga","12-17 Years","26225"
"Pfizer","mpumalanga","Adults","444344"
"Pfizer","northern cape","12-17 Years","7253"
"Pfizer","northern cape","Adults","183985"
"Pfizer","north west","12-17 Years","33879"
"Pfizer","north west","Adults","513635"
"Pfizer","western cape","12-17 Years","46766"
"Pfizer","western cape","Adults","1813008"
