"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","875989"
"eastern cape","Pfizer","1287512"
"free state","Johnson & Johnson","466176"
"free state","Pfizer","644407"
"gauteng","Johnson & Johnson","1444575"
"gauteng","Pfizer","3767883"
"kwazulu-natal","Johnson & Johnson","1168742"
"kwazulu-natal","Pfizer","1877198"
"limpopo","Johnson & Johnson","1035280"
"limpopo","Pfizer","1001012"
"mpumalanga","Johnson & Johnson","764179"
"mpumalanga","Pfizer","540038"
"northern cape","Johnson & Johnson","206412"
"northern cape","Pfizer","214955"
"north west","Johnson & Johnson","684270"
"north west","Pfizer","596216"
"western cape","Johnson & Johnson","720953"
"western cape","Pfizer","2069601"
