"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","498510"
"kwazulu-natal","Private Health","1162430"
"western cape","Private Health","1793249"
"limpopo","Private Health","553353"
"northern cape","Public Health","530624"
"gauteng","Private Health","4251532"
"kwazulu-natal","Public Health","4091594"
"free state","Public Health","1662147"
"north west","Public Health","1611883"
"gauteng","Public Health","5355188"
"mpumalanga","Private Health","376113"
"mpumalanga","Public Health","1647731"
"northern cape","Private Health","146120"
"eastern cape","Private Health","645525"
"western cape","Public Health","3481511"
"limpopo","Public Health","2789376"
"free state","Private Health","365218"
"eastern cape","Public Health","3092322"
