"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883461"
"Janssen Vaccines & Prevention B.V","free state","Adults","470486"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1464295"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1181179"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1043710"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","775622"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207673"
"Janssen Vaccines & Prevention B.V","north west","Adults","690244"
"Janssen Vaccines & Prevention B.V","western cape","Adults","726472"
"Pfizer","eastern cape","12-17 Years","45113"
"Pfizer","eastern cape","Adults","1074550"
"Pfizer","free state","12-17 Years","53891"
"Pfizer","free state","Adults","563557"
"Pfizer","gauteng","12-17 Years","123893"
"Pfizer","gauteng","Adults","3249229"
"Pfizer","kwazulu-natal","12-17 Years","61351"
"Pfizer","kwazulu-natal","Adults","1553296"
"Pfizer","limpopo","12-17 Years","56816"
"Pfizer","limpopo","Adults","839103"
"Pfizer","mpumalanga","12-17 Years","26846"
"Pfizer","mpumalanga","Adults","444850"
"Pfizer","northern cape","12-17 Years","7264"
"Pfizer","northern cape","Adults","184158"
"Pfizer","north west","12-17 Years","34563"
"Pfizer","north west","Adults","514199"
"Pfizer","western cape","12-17 Years","46875"
"Pfizer","western cape","Adults","1814059"
