"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","815144","0","66358","881502"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","441792","0","45656","487448"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1307494","0","117239","1424733"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1074278","0","91605","1165883"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1001109","0","63424","1064533"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","742332","0","56347","798679"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","196951","0","13562","210513"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","660815","0","58633","719448"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","626561","0","70224","696785"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137081","0","65348","202429"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34171","0","17016","51187"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21847","0","7149","28996"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94392","0","61521","155913"
"Pfizer","National","eastern cape","Adults","1287512","1063094","114082","2464688"
"Pfizer","National","eastern cape","12-17 Years","216627","35684","0","252311"
"Pfizer","National","free state","12-17 Years","150656","46227","0","196883"
"Pfizer","National","free state","Adults","644407","556774","70288","1271469"
"Pfizer","National","gauteng","12-17 Years","353004","106258","2","459264"
"Pfizer","National","gauteng","Adults","3767883","3202521","412558","7382962"
"Pfizer","National","kwazulu-natal","Adults","1877198","1533324","201440","3611962"
"Pfizer","National","kwazulu-natal","12-17 Years","219468","49821","2","269291"
"Pfizer","National","limpopo","Adults","1001012","829961","83024","1913997"
"Pfizer","National","limpopo","12-17 Years","214660","49135","0","263795"
"Pfizer","National","mpumalanga","12-17 Years","108537","21321","0","129858"
"Pfizer","National","mpumalanga","Adults","540038","438012","52175","1030225"
"Pfizer","National","northern cape","12-17 Years","23575","6397","0","29972"
"Pfizer","National","northern cape","Adults","214955","182303","17619","414877"
"Pfizer","National","north west","12-17 Years","133079","28427","0","161506"
"Pfizer","National","north west","Adults","596216","507357","60095","1163668"
"Pfizer","National","western cape","12-17 Years","128642","42920","2","171564"
"Pfizer","National","western cape","Adults","2069601","1799106","322329","4191036"
