"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10691","4510","15201"
"National","eastern cape","Private Health","Male","8869","3431","12300"
"National","eastern cape","Public Health","Female","112020","20204","132224"
"National","eastern cape","Public Health","Male","89960","13425","103385"
"National","free state","Private Health","Female","8730","3559","12289"
"National","free state","Private Health","Male","7084","2715","9799"
"National","free state","Public Health","Female","74304","26601","100905"
"National","free state","Public Health","Male","62700","19084","81784"
"National","gauteng","Private Health","Female","54034","26614","80648"
"National","gauteng","Private Health","Male","48835","22328","71163"
"National","gauteng","Public Health","Female","141896","40513","182409"
"National","gauteng","Public Health","Male","111737","29991","141728"
"National","kwazulu-natal","Private Health","Female","17577","8919","26496"
"National","kwazulu-natal","Private Health","Male","15752","7573","23325"
"National","kwazulu-natal","Public Health","Female","113798","25045","138843"
"National","kwazulu-natal","Public Health","Male","77178","15847","93025"
"National","limpopo","Private Health","Female","10186","4119","14305"
"National","limpopo","Private Health","Male","8111","2971","11082"
"National","limpopo","Public Health","Female","108976","27161","136137"
"National","limpopo","Public Health","Male","91348","20504","111852"
"National","mpumalanga","Private Health","Female","4042","1492","5534"
"National","mpumalanga","Private Health","Male","3495","1287","4782"
"National","mpumalanga","Public Health","Female","57718","12769","70487"
"National","mpumalanga","Public Health","Male","47745","9286","57031"
"National","northern cape","Private Health","Female","2133","937","3070"
"National","northern cape","Private Health","Male","1902","682","2584"
"National","northern cape","Public Health","Female","10963","3150","14113"
"National","northern cape","Public Health","Male","8785","2347","11132"
"National","north west","Private Health","Female","5220","2151","7371"
"National","north west","Private Health","Male","4684","1789","6473"
"National","north west","Public Health","Female","68900","16291","85191"
"National","north west","Public Health","Male","57451","11821","69272"
"National","western cape","Private Health","Female","23606","11129","34735"
"National","western cape","Private Health","Male","20940","9346","30286"
"National","western cape","Public Health","Female","46556","14349","60905"
"National","western cape","Public Health","Male","38435","11638","50073"
