"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10689","4532","15221"
"National","eastern cape","Private Health","Male","8870","3446","12316"
"National","eastern cape","Public Health","Female","112651","21286","133937"
"National","eastern cape","Public Health","Male","90453","14103","104556"
"National","free state","Private Health","Female","8726","3604","12330"
"National","free state","Private Health","Male","7083","2755","9838"
"National","free state","Public Health","Female","74466","26839","101305"
"National","free state","Public Health","Male","62860","19268","82128"
"National","gauteng","Private Health","Female","54061","26829","80890"
"National","gauteng","Private Health","Male","48893","22509","71402"
"National","gauteng","Public Health","Female","142159","41124","183283"
"National","gauteng","Public Health","Male","111947","30413","142360"
"National","kwazulu-natal","Private Health","Female","17565","8980","26545"
"National","kwazulu-natal","Private Health","Male","15755","7609","23364"
"National","kwazulu-natal","Public Health","Female","114486","26126","140612"
"National","kwazulu-natal","Public Health","Male","77677","16402","94079"
"National","limpopo","Private Health","Female","10191","4143","14334"
"National","limpopo","Private Health","Male","8122","2991","11113"
"National","limpopo","Public Health","Female","109273","27437","136710"
"National","limpopo","Public Health","Male","91586","20719","112305"
"National","mpumalanga","Private Health","Female","4037","1502","5539"
"National","mpumalanga","Private Health","Male","3501","1292","4793"
"National","mpumalanga","Public Health","Female","58362","13140","71502"
"National","mpumalanga","Public Health","Male","48471","9564","58035"
"National","northern cape","Private Health","Female","2135","942","3077"
"National","northern cape","Private Health","Male","1909","683","2592"
"National","northern cape","Public Health","Female","10996","3198","14194"
"National","northern cape","Public Health","Male","8813","2414","11227"
"National","north west","Private Health","Female","5216","2155","7371"
"National","north west","Private Health","Male","4685","1801","6486"
"National","north west","Public Health","Female","69473","16906","86379"
"National","north west","Public Health","Male","57819","12209","70028"
"National","western cape","Private Health","Female","23605","11177","34782"
"National","western cape","Private Health","Male","20948","9396","30344"
"National","western cape","Public Health","Female","46575","14406","60981"
"National","western cape","Public Health","Male","38453","11690","50143"
