"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10687","4499","15186"
"National","eastern cape","Private Health","Male","8868","3418","12286"
"National","eastern cape","Public Health","Female","111590","19688","131278"
"National","eastern cape","Public Health","Male","89556","13045","102601"
"National","free state","Private Health","Female","8726","3494","12220"
"National","free state","Private Health","Male","7073","2656","9729"
"National","free state","Public Health","Female","73981","26238","100219"
"National","free state","Public Health","Male","62431","18750","81181"
"National","gauteng","Private Health","Female","53999","26443","80442"
"National","gauteng","Private Health","Male","48800","22182","70982"
"National","gauteng","Public Health","Female","141641","40101","181742"
"National","gauteng","Public Health","Male","111463","29702","141165"
"National","kwazulu-natal","Private Health","Female","17582","8886","26468"
"National","kwazulu-natal","Private Health","Male","15745","7543","23288"
"National","kwazulu-natal","Public Health","Female","113079","23995","137074"
"National","kwazulu-natal","Public Health","Male","76686","15223","91909"
"National","limpopo","Private Health","Female","10180","4064","14244"
"National","limpopo","Private Health","Male","8109","2948","11057"
"National","limpopo","Public Health","Female","108739","26996","135735"
"National","limpopo","Public Health","Male","91063","20345","111408"
"National","mpumalanga","Private Health","Female","4037","1472","5509"
"National","mpumalanga","Private Health","Male","3495","1280","4775"
"National","mpumalanga","Public Health","Female","57307","12510","69817"
"National","mpumalanga","Public Health","Male","47260","9074","56334"
"National","northern cape","Private Health","Female","2129","937","3066"
"National","northern cape","Private Health","Male","1894","680","2574"
"National","northern cape","Public Health","Female","10948","3086","14034"
"National","northern cape","Public Health","Male","8770","2289","11059"
"National","north west","Private Health","Female","5217","2140","7357"
"National","north west","Private Health","Male","4681","1783","6464"
"National","north west","Public Health","Female","68355","15897","84252"
"National","north west","Public Health","Male","57066","11492","68558"
"National","western cape","Private Health","Female","23592","11061","34653"
"National","western cape","Private Health","Male","20923","9292","30215"
"National","western cape","Public Health","Female","46550","14283","60833"
"National","western cape","Public Health","Male","38435","11574","50009"
