"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","817588","0","70580","888168"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","443253","0","48596","491849"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1314486","0","123708","1438194"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1078380","0","96776","1175156"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1003426","0","68652","1072078"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","745501","0","60099","805600"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197266","0","14361","211627"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","662944","0","62414","725358"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","628275","0","73078","701353"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137097","0","65348","202445"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34172","0","17016","51188"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21851","0","7149","29000"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94396","0","61521","155917"
"Pfizer","National","eastern cape","Adults","1289932","1066820","123294","2480046"
"Pfizer","National","eastern cape","12-17 Years","217967","37786","0","255753"
"Pfizer","National","free state","12-17 Years","151324","49229","0","200553"
"Pfizer","National","free state","Adults","645830","559214","76043","1281087"
"Pfizer","National","gauteng","12-17 Years","355067","114589","2","469658"
"Pfizer","National","gauteng","Adults","3776318","3221360","438271","7435949"
"Pfizer","National","kwazulu-natal","Adults","1882079","1540249","211999","3634327"
"Pfizer","National","kwazulu-natal","12-17 Years","220797","52800","2","273599"
"Pfizer","National","limpopo","Adults","1002828","833027","90235","1926090"
"Pfizer","National","limpopo","12-17 Years","216651","52482","0","269133"
"Pfizer","National","mpumalanga","12-17 Years","109623","22702","0","132325"
"Pfizer","National","mpumalanga","Adults","541559","440199","56073","1037831"
"Pfizer","National","northern cape","12-17 Years","23678","6725","0","30403"
"Pfizer","National","northern cape","Adults","215336","182888","18826","417050"
"Pfizer","National","north west","12-17 Years","133805","29845","0","163650"
"Pfizer","National","north west","Adults","597609","509848","65282","1172739"
"Pfizer","National","western cape","12-17 Years","129389","45076","2","174467"
"Pfizer","National","western cape","Adults","2072713","1804642","338787","4216142"
