"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","822613","0","79060","901673"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","446100","0","54044","500144"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1327155","0","135604","1462759"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1086712","0","106587","1193299"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1009537","0","80791","1090328"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","753760","0","67810","821570"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","198211","0","16595","214806"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","666783","0","70174","736957"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","632017","0","78938","710955"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137140","0","65354","202494"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94467","0","40019","134486"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21862","0","7150","29012"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23461","0","8964","32425"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94455","0","61526","155981"
"Pfizer","National","eastern cape","Adults","1294939","1074549","141416","2510904"
"Pfizer","National","eastern cape","12-17 Years","224501","45113","0","269614"
"Pfizer","National","free state","12-17 Years","154341","53891","0","208232"
"Pfizer","National","free state","Adults","649089","563557","87528","1300174"
"Pfizer","National","gauteng","12-17 Years","358986","123893","3","482882"
"Pfizer","National","gauteng","Adults","3792752","3249225","481157","7523134"
"Pfizer","National","kwazulu-natal","Adults","1892036","1553295","228452","3673783"
"Pfizer","National","kwazulu-natal","12-17 Years","226916","61351","4","288271"
"Pfizer","National","limpopo","Adults","1007001","839103","104981","1951085"
"Pfizer","National","limpopo","12-17 Years","221221","56816","0","278037"
"Pfizer","National","mpumalanga","12-17 Years","117352","26846","0","144198"
"Pfizer","National","mpumalanga","Adults","545428","444850","63875","1054153"
"Pfizer","National","northern cape","12-17 Years","23872","7264","0","31136"
"Pfizer","National","northern cape","Adults","216294","184158","21665","422117"
"Pfizer","National","north west","12-17 Years","138384","34563","0","172947"
"Pfizer","National","north west","Adults","600493","514199","73872","1188564"
"Pfizer","National","western cape","12-17 Years","129730","46875","1","176606"
"Pfizer","National","western cape","Adults","2078805","1814056","367627","4260488"
