"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","813372","0","63107","876479"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","440783","0","43383","484166"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1303335","0","112741","1416076"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1071447","0","87852","1159299"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","999440","0","60007","1059447"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","740021","0","53404","793425"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","196697","0","13083","209780"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","659369","0","55790","715159"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","625615","0","68253","693868"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137070","0","65347","202417"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34169","0","17016","51185"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21847","0","7148","28995"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23454","0","8964","32418"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94392","0","61520","155912"
"Pfizer","National","eastern cape","Adults","1286068","1060734","107589","2454391"
"Pfizer","National","eastern cape","12-17 Years","215603","34129","0","249732"
"Pfizer","National","free state","12-17 Years","150215","44043","0","194258"
"Pfizer","National","free state","Adults","643535","554988","66334","1264857"
"Pfizer","National","gauteng","12-17 Years","351622","100913","2","452537"
"Pfizer","National","gauteng","Adults","3762625","3189828","396282","7348735"
"Pfizer","National","kwazulu-natal","Adults","1874164","1528254","193959","3596377"
"Pfizer","National","kwazulu-natal","12-17 Years","217516","47804","2","265322"
"Pfizer","National","limpopo","Adults","999812","827769","77736","1905317"
"Pfizer","National","limpopo","12-17 Years","213131","46733","0","259864"
"Pfizer","National","mpumalanga","12-17 Years","107680","20330","0","128010"
"Pfizer","National","mpumalanga","Adults","539243","436511","49328","1025082"
"Pfizer","National","northern cape","12-17 Years","23538","6170","0","29708"
"Pfizer","National","northern cape","Adults","214706","181864","16883","413453"
"Pfizer","National","north west","12-17 Years","132620","27446","0","160066"
"Pfizer","National","north west","Adults","595301","505625","56882","1157808"
"Pfizer","National","western cape","12-17 Years","128333","41718","2","170053"
"Pfizer","National","western cape","Adults","2067766","1795939","312279","4175984"
