"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10685","4440","15125"
"National","eastern cape","Private Health","Male","8885","3394","12279"
"National","eastern cape","Public Health","Female","110190","18378","128568"
"National","eastern cape","Public Health","Male","88471","12210","100681"
"National","free state","Private Health","Female","8723","3407","12130"
"National","free state","Private Health","Male","7061","2551","9612"
"National","free state","Public Health","Female","73633","25599","99232"
"National","free state","Public Health","Male","62115","18302","80417"
"National","gauteng","Private Health","Female","54003","26166","80169"
"National","gauteng","Private Health","Male","48775","21954","70729"
"National","gauteng","Public Health","Female","141338","39127","180465"
"National","gauteng","Public Health","Male","111248","28970","140218"
"National","kwazulu-natal","Private Health","Female","17595","8836","26431"
"National","kwazulu-natal","Private Health","Male","15757","7479","23236"
"National","kwazulu-natal","Public Health","Female","111744","22717","134461"
"National","kwazulu-natal","Public Health","Male","75920","14528","90448"
"National","limpopo","Private Health","Female","10178","4047","14225"
"National","limpopo","Private Health","Male","8094","2938","11032"
"National","limpopo","Public Health","Female","108339","26523","134862"
"National","limpopo","Public Health","Male","90636","19907","110543"
"National","mpumalanga","Private Health","Female","4041","1461","5502"
"National","mpumalanga","Private Health","Male","3498","1265","4763"
"National","mpumalanga","Public Health","Female","56248","11787","68035"
"National","mpumalanga","Public Health","Male","46082","8487","54569"
"National","northern cape","Private Health","Female","2124","923","3047"
"National","northern cape","Private Health","Male","1893","676","2569"
"National","northern cape","Public Health","Female","10909","2966","13875"
"National","northern cape","Public Health","Male","8761","2211","10972"
"National","north west","Private Health","Female","5207","2100","7307"
"National","north west","Private Health","Male","4667","1757","6424"
"National","north west","Public Health","Female","67587","15224","82811"
"National","north west","Public Health","Male","56425","10978","67403"
"National","western cape","Private Health","Female","23588","10915","34503"
"National","western cape","Private Health","Male","20916","9180","30096"
"National","western cape","Public Health","Female","46565","14113","60678"
"National","western cape","Public Health","Male","38439","11453","49892"
