"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","821628","0","77167","898795"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","445368","0","52651","498019"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1324257","0","132806","1457063"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1085336","0","104970","1190306"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1007904","0","77471","1085375"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","751654","0","65933","817587"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197987","0","16085","214072"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","665869","0","68419","734288"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","631116","0","77728","708844"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137137","0","65354","202491"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21858","0","7150","29008"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23461","0","8964","32425"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94401","0","61521","155922"
"Pfizer","National","eastern cape","Adults","1293869","1072966","137844","2504679"
"Pfizer","National","eastern cape","12-17 Years","222663","43367","0","266030"
"Pfizer","National","free state","12-17 Years","153135","52466","0","205601"
"Pfizer","National","free state","Adults","648240","562499","84847","1295586"
"Pfizer","National","gauteng","12-17 Years","357060","120875","3","477938"
"Pfizer","National","gauteng","Adults","3788759","3243045","471973","7503777"
"Pfizer","National","kwazulu-natal","Adults","1890577","1551514","226319","3668410"
"Pfizer","National","kwazulu-natal","12-17 Years","225483","59117","4","284604"
"Pfizer","National","limpopo","Adults","1005940","837370","101087","1944397"
"Pfizer","National","limpopo","12-17 Years","219172","55290","0","274462"
"Pfizer","National","mpumalanga","12-17 Years","114371","25498","0","139869"
"Pfizer","National","mpumalanga","Adults","544665","443813","62148","1050626"
"Pfizer","National","northern cape","12-17 Years","23853","7237","0","31090"
"Pfizer","National","northern cape","Adults","216098","183868","20932","420898"
"Pfizer","National","north west","12-17 Years","137193","33071","0","170264"
"Pfizer","National","north west","Adults","599835","513147","72124","1185106"
"Pfizer","National","western cape","12-17 Years","129581","46669","1","176251"
"Pfizer","National","western cape","Adults","2077400","1812043","361518","4250961"
