"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10672","4371","15043"
"National","eastern cape","Private Health","Male","8869","3353","12222"
"National","eastern cape","Public Health","Female","110085","18052","128137"
"National","eastern cape","Public Health","Male","88419","12020","100439"
"National","free state","Private Health","Female","8691","3340","12031"
"National","free state","Private Health","Male","7033","2499","9532"
"National","free state","Public Health","Female","73579","25282","98861"
"National","free state","Public Health","Male","62063","18111","80174"
"National","gauteng","Private Health","Female","53978","25823","79801"
"National","gauteng","Private Health","Male","48708","21669","70377"
"National","gauteng","Public Health","Female","141275","38576","179851"
"National","gauteng","Public Health","Male","111214","28531","139745"
"National","kwazulu-natal","Private Health","Female","17584","8763","26347"
"National","kwazulu-natal","Private Health","Male","15753","7394","23147"
"National","kwazulu-natal","Public Health","Female","111673","22280","133953"
"National","kwazulu-natal","Public Health","Male","75865","14302","90167"
"National","limpopo","Private Health","Female","10136","3967","14103"
"National","limpopo","Private Health","Male","8048","2879","10927"
"National","limpopo","Public Health","Female","108093","26069","134162"
"National","limpopo","Public Health","Male","90454","19564","110018"
"National","mpumalanga","Private Health","Female","4043","1446","5489"
"National","mpumalanga","Private Health","Male","3490","1244","4734"
"National","mpumalanga","Public Health","Female","56205","11650","67855"
"National","mpumalanga","Public Health","Male","45930","8373","54303"
"National","northern cape","Private Health","Female","2123","916","3039"
"National","northern cape","Private Health","Male","1891","673","2564"
"National","northern cape","Public Health","Female","10909","2946","13855"
"National","northern cape","Public Health","Male","8762","2190","10952"
"National","north west","Private Health","Female","5206","2074","7280"
"National","north west","Private Health","Male","4661","1732","6393"
"National","north west","Public Health","Female","67552","15117","82669"
"National","north west","Public Health","Male","56400","10888","67288"
"National","western cape","Private Health","Female","23545","10738","34283"
"National","western cape","Private Health","Male","20880","9011","29891"
"National","western cape","Public Health","Female","46578","13991","60569"
"National","western cape","Public Health","Male","38446","11351","49797"
