"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502046"
"kwazulu-natal","Private Health","1167859"
"western cape","Private Health","1805325"
"limpopo","Private Health","558618"
"northern cape","Public Health","534622"
"gauteng","Private Health","4280929"
"kwazulu-natal","Public Health","4121980"
"free state","Public Health","1676941"
"north west","Public Health","1628847"
"gauteng","Public Health","5390340"
"mpumalanga","Private Health","377987"
"mpumalanga","Public Health","1670946"
"northern cape","Private Health","147354"
"eastern cape","Private Health","649917"
"western cape","Public Health","3498705"
"limpopo","Public Health","2812021"
"free state","Private Health","368194"
"eastern cape","Public Health","3117342"
