"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10686","4531","15217"
"National","eastern cape","Private Health","Male","8872","3438","12310"
"National","eastern cape","Public Health","Female","112090","20441","132531"
"National","eastern cape","Public Health","Male","90009","13608","103617"
"National","free state","Private Health","Female","8725","3567","12292"
"National","free state","Private Health","Male","7082","2716","9798"
"National","free state","Public Health","Female","74278","26621","100899"
"National","free state","Public Health","Male","62676","19106","81782"
"National","gauteng","Private Health","Female","54041","26744","80785"
"National","gauteng","Private Health","Male","48874","22440","71314"
"National","gauteng","Public Health","Female","141840","40618","182458"
"National","gauteng","Public Health","Male","111697","30049","141746"
"National","kwazulu-natal","Private Health","Female","17572","8968","26540"
"National","kwazulu-natal","Private Health","Male","15753","7599","23352"
"National","kwazulu-natal","Public Health","Female","113978","25263","139241"
"National","kwazulu-natal","Public Health","Male","77338","15940","93278"
"National","limpopo","Private Health","Female","10179","4130","14309"
"National","limpopo","Private Health","Male","8116","2986","11102"
"National","limpopo","Public Health","Female","108936","27179","136115"
"National","limpopo","Public Health","Male","91345","20527","111872"
"National","mpumalanga","Private Health","Female","4040","1499","5539"
"National","mpumalanga","Private Health","Male","3499","1289","4788"
"National","mpumalanga","Public Health","Female","57780","12839","70619"
"National","mpumalanga","Public Health","Male","47857","9346","57203"
"National","northern cape","Private Health","Female","2135","941","3076"
"National","northern cape","Private Health","Male","1908","683","2591"
"National","northern cape","Public Health","Female","10985","3180","14165"
"National","northern cape","Public Health","Male","8812","2381","11193"
"National","north west","Private Health","Female","5221","2153","7374"
"National","north west","Private Health","Male","4684","1796","6480"
"National","north west","Public Health","Female","69151","16466","85617"
"National","north west","Public Health","Male","57595","11932","69527"
"National","western cape","Private Health","Female","23603","11157","34760"
"National","western cape","Private Health","Male","20940","9362","30302"
"National","western cape","Public Health","Female","46553","14374","60927"
"National","western cape","Public Health","Male","38438","11670","50108"
