"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","487797"
"kwazulu-natal","Private Health","1139069"
"western cape","Private Health","1755606"
"limpopo","Private Health","539680"
"northern cape","Public Health","523824"
"gauteng","Private Health","4156335"
"kwazulu-natal","Public Health","4011846"
"free state","Public Health","1623482"
"north west","Public Health","1575973"
"gauteng","Public Health","5254806"
"mpumalanga","Private Health","369893"
"mpumalanga","Public Health","1604491"
"northern cape","Private Health","142715"
"eastern cape","Private Health","632851"
"western cape","Public Health","3437796"
"limpopo","Public Health","2735531"
"free state","Private Health","355771"
"eastern cape","Public Health","3031783"
