"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","499506"
"kwazulu-natal","Private Health","1164474"
"western cape","Private Health","1796591"
"limpopo","Private Health","554593"
"northern cape","Public Health","531723"
"gauteng","Private Health","4260010"
"kwazulu-natal","Public Health","4100766"
"free state","Public Health","1665989"
"north west","Public Health","1615916"
"gauteng","Public Health","5362611"
"mpumalanga","Private Health","376724"
"mpumalanga","Public Health","1652926"
"northern cape","Private Health","146421"
"eastern cape","Private Health","646509"
"western cape","Public Health","3486135"
"limpopo","Public Health","2793333"
"free state","Private Health","366070"
"eastern cape","Public Health","3098027"
