"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","874131"
"Janssen Vaccines & Prevention B.V","free state","Adults","465138"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1439738"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1165565"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1033467"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","761666"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206124"
"Janssen Vaccines & Prevention B.V","north west","Adults","682615"
"Janssen Vaccines & Prevention B.V","western cape","Adults","719911"
"Pfizer","eastern cape","12-17 Years","34075"
"Pfizer","eastern cape","Adults","1060587"
"Pfizer","free state","12-17 Years","43977"
"Pfizer","free state","Adults","554875"
"Pfizer","gauteng","12-17 Years","100274"
"Pfizer","gauteng","Adults","3187830"
"Pfizer","kwazulu-natal","12-17 Years","47498"
"Pfizer","kwazulu-natal","Adults","1527465"
"Pfizer","limpopo","12-17 Years","46683"
"Pfizer","limpopo","Adults","827650"
"Pfizer","mpumalanga","12-17 Years","20230"
"Pfizer","mpumalanga","Adults","436372"
"Pfizer","northern cape","12-17 Years","6156"
"Pfizer","northern cape","Adults","181813"
"Pfizer","north west","12-17 Years","27310"
"Pfizer","north west","Adults","505398"
"Pfizer","western cape","12-17 Years","41571"
"Pfizer","western cape","Adults","1795576"
