"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","818124","0","71548","889672"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","443602","0","49288","492890"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1315821","0","124826","1440647"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1079478","0","98061","1177539"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1003995","0","69975","1073970"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","746119","0","60800","806919"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197338","0","14527","211865"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","663285","0","63095","726380"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","628669","0","73539","702208"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137098","0","65348","202446"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34172","0","17016","51188"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21851","0","7149","29000"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94397","0","61521","155918"
"Pfizer","National","eastern cape","Adults","1290478","1067756","125612","2483846"
"Pfizer","National","eastern cape","12-17 Years","218231","38422","0","256653"
"Pfizer","National","free state","12-17 Years","151532","49859","0","201391"
"Pfizer","National","free state","Adults","646178","559788","77338","1283304"
"Pfizer","National","gauteng","12-17 Years","355364","116217","2","471583"
"Pfizer","National","gauteng","Adults","3778132","3224818","443077","7446027"
"Pfizer","National","kwazulu-natal","Adults","1883470","1542216","214285","3639971"
"Pfizer","National","kwazulu-natal","12-17 Years","221016","53560","2","274578"
"Pfizer","National","limpopo","Adults","1003239","833717","91957","1928913"
"Pfizer","National","limpopo","12-17 Years","217247","53415","0","270662"
"Pfizer","National","mpumalanga","12-17 Years","109869","23000","0","132869"
"Pfizer","National","mpumalanga","Adults","541925","440671","56903","1039499"
"Pfizer","National","northern cape","12-17 Years","23687","6776","0","30463"
"Pfizer","National","northern cape","Adults","215428","183018","19036","417482"
"Pfizer","National","north west","12-17 Years","133886","30059","0","163945"
"Pfizer","National","north west","Adults","597917","510328","66226","1174471"
"Pfizer","National","western cape","12-17 Years","129508","45661","2","175171"
"Pfizer","National","western cape","Adults","2073376","1805853","342009","4221238"
