"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","822222","0","78212","900434"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","445710","0","53324","499034"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1325832","0","134165","1459997"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1085869","0","105669","1191538"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1008722","0","79192","1087914"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","752786","0","66928","819714"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","198093","0","16315","214408"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","666291","0","69262","735553"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","631557","0","78333","709890"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137138","0","65354","202492"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21858","0","7150","29008"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23461","0","8964","32425"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94402","0","61521","155923"
"Pfizer","National","eastern cape","Adults","1294430","1073803","139774","2508007"
"Pfizer","National","eastern cape","12-17 Years","223666","44482","0","268148"
"Pfizer","National","free state","12-17 Years","153629","53020","0","206649"
"Pfizer","National","free state","Adults","648667","562990","86146","1297803"
"Pfizer","National","gauteng","12-17 Years","358120","122414","3","480537"
"Pfizer","National","gauteng","Adults","3790760","3246135","476590","7513485"
"Pfizer","National","kwazulu-natal","Adults","1891174","1552152","227121","3670447"
"Pfizer","National","kwazulu-natal","12-17 Years","226188","60317","4","286509"
"Pfizer","National","limpopo","Adults","1006491","838239","103035","1947765"
"Pfizer","National","limpopo","12-17 Years","220069","56154","0","276223"
"Pfizer","National","mpumalanga","12-17 Years","116065","26225","0","142290"
"Pfizer","National","mpumalanga","Adults","545101","444344","63083","1052528"
"Pfizer","National","northern cape","12-17 Years","23868","7253","0","31121"
"Pfizer","National","northern cape","Adults","216173","183985","21391","421549"
"Pfizer","National","north west","12-17 Years","137864","33879","0","171743"
"Pfizer","National","north west","Adults","600169","513635","73024","1186828"
"Pfizer","National","western cape","12-17 Years","129714","46766","1","176481"
"Pfizer","National","western cape","Adults","2078076","1813005","364692","4255773"
