"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","814212","0","64643","878855"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","441281","0","44469","485750"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1305389","0","114984","1420373"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1072965","0","89797","1162762"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1000248","0","61496","1061744"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","741113","0","54903","796016"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","196808","0","13338","210146"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","660131","0","57276","717407"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","626089","0","69242","695331"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24384","0","12199","36583"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137074","0","65347","202421"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94464","0","40019","134483"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34169","0","17016","51185"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21847","0","7149","28996"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23454","0","8964","32418"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94392","0","61521","155913"
"Pfizer","National","eastern cape","Adults","1286828","1061899","110613","2459340"
"Pfizer","National","eastern cape","12-17 Years","216153","34923","0","251076"
"Pfizer","National","free state","12-17 Years","150403","45105","0","195508"
"Pfizer","National","free state","Adults","643959","555840","68192","1267991"
"Pfizer","National","gauteng","12-17 Years","352225","103607","2","455834"
"Pfizer","National","gauteng","Adults","3765322","3196265","404391","7365978"
"Pfizer","National","kwazulu-natal","Adults","1875843","1530924","197790","3604557"
"Pfizer","National","kwazulu-natal","12-17 Years","218942","48833","2","267777"
"Pfizer","National","limpopo","Adults","1000428","828910","80268","1909606"
"Pfizer","National","limpopo","12-17 Years","213736","47980","0","261716"
"Pfizer","National","mpumalanga","12-17 Years","108046","20857","0","128903"
"Pfizer","National","mpumalanga","Adults","539667","437289","50797","1027753"
"Pfizer","National","northern cape","12-17 Years","23543","6262","0","29805"
"Pfizer","National","northern cape","Adults","214849","182091","17224","414164"
"Pfizer","National","north west","12-17 Years","132835","27962","0","160797"
"Pfizer","National","north west","Adults","595800","506510","58426","1160736"
"Pfizer","National","western cape","12-17 Years","128475","42380","2","170857"
"Pfizer","National","western cape","Adults","2068775","1797572","317584","4183931"
