"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","493014"
"kwazulu-natal","Private Health","1151110"
"western cape","Private Health","1774466"
"limpopo","Private Health","546656"
"northern cape","Public Health","527325"
"gauteng","Private Health","4205442"
"kwazulu-natal","Public Health","4053485"
"free state","Public Health","1644749"
"north west","Public Health","1595095"
"gauteng","Public Health","5312821"
"mpumalanga","Private Health","373158"
"mpumalanga","Public Health","1626287"
"northern cape","Private Health","144479"
"eastern cape","Private Health","639305"
"western cape","Public Health","3462301"
"limpopo","Public Health","2765253"
"free state","Private Health","360516"
"eastern cape","Public Health","3062704"
