"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10618","4013","14631"
"National","eastern cape","Private Health","Male","8808","3045","11853"
"National","eastern cape","Public Health","Female","108681","16130","124811"
"National","eastern cape","Public Health","Male","87507","10887","98394"
"National","free state","Private Health","Female","8578","2937","11515"
"National","free state","Private Health","Male","6942","2245","9187"
"National","free state","Public Health","Female","73082","22549","95631"
"National","free state","Public Health","Male","61658","16246","77904"
"National","gauteng","Private Health","Female","53336","22997","76333"
"National","gauteng","Private Health","Male","48165","19485","67650"
"National","gauteng","Public Health","Female","140041","32938","172979"
"National","gauteng","Public Health","Male","110030","24854","134884"
"National","kwazulu-natal","Private Health","Female","17484","8041","25525"
"National","kwazulu-natal","Private Health","Male","15675","6763","22438"
"National","kwazulu-natal","Public Health","Female","109521","19760","129281"
"National","kwazulu-natal","Public Health","Male","74328","12934","87262"
"National","limpopo","Private Health","Female","9889","3581","13470"
"National","limpopo","Private Health","Male","7866","2560","10426"
"National","limpopo","Public Health","Female","106476","23103","129579"
"National","limpopo","Public Health","Male","88972","17439","106411"
"National","mpumalanga","Private Health","Female","4004","1298","5302"
"National","mpumalanga","Private Health","Male","3440","1132","4572"
"National","mpumalanga","Public Health","Female","55495","10409","65904"
"National","mpumalanga","Public Health","Male","44708","7391","52099"
"National","northern cape","Private Health","Female","2092","828","2920"
"National","northern cape","Private Health","Male","1867","619","2486"
"National","northern cape","Public Health","Female","10845","2681","13526"
"National","northern cape","Public Health","Male","8734","2028","10762"
"National","north west","Private Health","Female","5105","1848","6953"
"National","north west","Private Health","Male","4595","1563","6158"
"National","north west","Public Health","Female","66959","13827","80786"
"National","north west","Public Health","Male","55934","10072","66006"
"National","western cape","Private Health","Female","23354","9852","33206"
"National","western cape","Private Health","Male","20715","8249","28964"
"National","western cape","Public Health","Female","46198","13025","59223"
"National","western cape","Public Health","Male","38088","10445","48533"
