"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","821102","0","76352","897454"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","445123","0","52175","497298"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1323088","0","131885","1454973"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1084569","0","104256","1188825"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1007066","0","76169","1083235"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","750514","0","65111","815625"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197916","0","15944","213860"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","665540","0","67729","733269"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","630646","0","77135","707781"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137126","0","65354","202480"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34173","0","17016","51189"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21858","0","7150","29008"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9462","0","4455","13917"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23457","0","8964","32421"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94402","0","61521","155923"
"Pfizer","National","eastern cape","Adults","1293299","1072245","136074","2501618"
"Pfizer","National","eastern cape","12-17 Years","221657","42018","0","263675"
"Pfizer","National","free state","12-17 Years","152761","52010","0","204771"
"Pfizer","National","free state","Adults","647922","562199","83953","1294074"
"Pfizer","National","gauteng","12-17 Years","356452","119851","3","476306"
"Pfizer","National","gauteng","Adults","3787225","3240917","468377","7496519"
"Pfizer","National","kwazulu-natal","Adults","1889565","1550500","225142","3665207"
"Pfizer","National","kwazulu-natal","12-17 Years","224641","57770","3","282414"
"Pfizer","National","limpopo","Adults","1005386","836723","99274","1941383"
"Pfizer","National","limpopo","12-17 Years","218576","54822","0","273398"
"Pfizer","National","mpumalanga","12-17 Years","113176","24973","0","138149"
"Pfizer","National","mpumalanga","Adults","544219","443398","61508","1049125"
"Pfizer","National","northern cape","12-17 Years","23840","7185","0","31025"
"Pfizer","National","northern cape","Adults","216036","183773","20719","420528"
"Pfizer","National","north west","12-17 Years","136651","32347","0","168998"
"Pfizer","National","north west","Adults","599585","512811","71394","1183790"
"Pfizer","National","western cape","12-17 Years","129534","46563","1","176098"
"Pfizer","National","western cape","Adults","2076729","1811212","358567","4246508"
