"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","882476"
"Janssen Vaccines & Prevention B.V","free state","Adults","469754"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1461394"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1179802"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1042077"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","773512"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207449"
"Janssen Vaccines & Prevention B.V","north west","Adults","689330"
"Janssen Vaccines & Prevention B.V","western cape","Adults","725517"
"Pfizer","eastern cape","12-17 Years","43367"
"Pfizer","eastern cape","Adults","1072967"
"Pfizer","free state","12-17 Years","52466"
"Pfizer","free state","Adults","562499"
"Pfizer","gauteng","12-17 Years","120875"
"Pfizer","gauteng","Adults","3243049"
"Pfizer","kwazulu-natal","12-17 Years","59117"
"Pfizer","kwazulu-natal","Adults","1551515"
"Pfizer","limpopo","12-17 Years","55290"
"Pfizer","limpopo","Adults","837370"
"Pfizer","mpumalanga","12-17 Years","25498"
"Pfizer","mpumalanga","Adults","443813"
"Pfizer","northern cape","12-17 Years","7237"
"Pfizer","northern cape","Adults","183868"
"Pfizer","north west","12-17 Years","33071"
"Pfizer","north west","Adults","513147"
"Pfizer","western cape","12-17 Years","46669"
"Pfizer","western cape","Adults","1812046"
