"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10691","4530","15221"
"National","eastern cape","Private Health","Male","8875","3439","12314"
"National","eastern cape","Public Health","Female","112053","20400","132453"
"National","eastern cape","Public Health","Male","89974","13584","103558"
"National","free state","Private Health","Female","8727","3569","12296"
"National","free state","Private Health","Male","7084","2717","9801"
"National","free state","Public Health","Female","74302","26628","100930"
"National","free state","Public Health","Male","62698","19110","81808"
"National","gauteng","Private Health","Female","54065","26757","80822"
"National","gauteng","Private Health","Male","48885","22446","71331"
"National","gauteng","Public Health","Female","141893","40624","182517"
"National","gauteng","Public Health","Male","111727","30052","141779"
"National","kwazulu-natal","Private Health","Female","17578","8965","26543"
"National","kwazulu-natal","Private Health","Male","15763","7600","23363"
"National","kwazulu-natal","Public Health","Female","113900","25215","139115"
"National","kwazulu-natal","Public Health","Male","77276","15920","93196"
"National","limpopo","Private Health","Female","10189","4132","14321"
"National","limpopo","Private Health","Male","8118","2985","11103"
"National","limpopo","Public Health","Female","108950","27184","136134"
"National","limpopo","Public Health","Male","91357","20529","111886"
"National","mpumalanga","Private Health","Female","4044","1499","5543"
"National","mpumalanga","Private Health","Male","3501","1290","4791"
"National","mpumalanga","Public Health","Female","57765","12823","70588"
"National","mpumalanga","Public Health","Male","47826","9329","57155"
"National","northern cape","Private Health","Female","2135","940","3075"
"National","northern cape","Private Health","Male","1907","682","2589"
"National","northern cape","Public Health","Female","10976","3178","14154"
"National","northern cape","Public Health","Male","8803","2379","11182"
"National","north west","Private Health","Female","5224","2154","7378"
"National","north west","Private Health","Male","4683","1796","6479"
"National","north west","Public Health","Female","69075","16381","85456"
"National","north west","Public Health","Male","57550","11869","69419"
"National","western cape","Private Health","Female","23611","11158","34769"
"National","western cape","Private Health","Male","20947","9363","30310"
"National","western cape","Public Health","Female","46567","14364","60931"
"National","western cape","Public Health","Male","38440","11667","50107"
