"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","878969"
"Janssen Vaccines & Prevention B.V","free state","Adults","467987"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1452919"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1173944"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1038167"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","767970"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","206799"
"Janssen Vaccines & Prevention B.V","north west","Adults","686740"
"Janssen Vaccines & Prevention B.V","western cape","Adults","723066"
"Pfizer","eastern cape","12-17 Years","38422"
"Pfizer","eastern cape","Adults","1067756"
"Pfizer","free state","12-17 Years","49859"
"Pfizer","free state","Adults","559788"
"Pfizer","gauteng","12-17 Years","116217"
"Pfizer","gauteng","Adults","3224820"
"Pfizer","kwazulu-natal","12-17 Years","53560"
"Pfizer","kwazulu-natal","Adults","1542216"
"Pfizer","limpopo","12-17 Years","53415"
"Pfizer","limpopo","Adults","833717"
"Pfizer","mpumalanga","12-17 Years","23000"
"Pfizer","mpumalanga","Adults","440671"
"Pfizer","northern cape","12-17 Years","6776"
"Pfizer","northern cape","Adults","183018"
"Pfizer","north west","12-17 Years","30059"
"Pfizer","north west","Adults","510328"
"Pfizer","western cape","12-17 Years","45661"
"Pfizer","western cape","Adults","1805855"
