"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","818828","0","72654","891482"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","443972","0","49996","493968"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1317422","0","126241","1443663"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1080678","0","99442","1180120"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1004685","0","71324","1076009"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","746785","0","61605","808390"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197416","0","14767","212183"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","663722","0","63969","727691"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","629077","0","74255","703332"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137101","0","65349","202450"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34172","0","17016","51188"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21853","0","7149","29002"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23457","0","8964","32421"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94397","0","61521","155918"
"Pfizer","National","eastern cape","Adults","1291050","1068750","128123","2487923"
"Pfizer","National","eastern cape","12-17 Years","218751","38790","0","257541"
"Pfizer","National","free state","12-17 Years","151607","50034","0","201641"
"Pfizer","National","free state","Adults","646625","560366","78948","1285939"
"Pfizer","National","gauteng","12-17 Years","355417","116798","2","472217"
"Pfizer","National","gauteng","Adults","3780279","3228771","448275","7457325"
"Pfizer","National","kwazulu-natal","Adults","1884746","1544013","216515","3645274"
"Pfizer","National","kwazulu-natal","12-17 Years","221261","53826","2","275089"
"Pfizer","National","limpopo","Adults","1003702","834523","94072","1932297"
"Pfizer","National","limpopo","12-17 Years","217437","53724","0","271161"
"Pfizer","National","mpumalanga","12-17 Years","110355","23248","0","133603"
"Pfizer","National","mpumalanga","Adults","542560","441363","57970","1041893"
"Pfizer","National","northern cape","12-17 Years","23686","6819","0","30505"
"Pfizer","National","northern cape","Adults","215532","183163","19307","418002"
"Pfizer","National","north west","12-17 Years","133990","30167","0","164157"
"Pfizer","National","north west","Adults","598229","510856","67491","1176576"
"Pfizer","National","western cape","12-17 Years","129505","45825","2","175332"
"Pfizer","National","western cape","Adults","2074034","1807020","345664","4226718"
