"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","817501","0","70402","887903"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","443227","0","48558","491785"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1313963","0","123242","1437205"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1078050","0","96390","1174440"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1003348","0","68545","1071893"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","745400","0","59991","805391"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","197255","0","14329","211584"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","662686","0","61894","724580"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","628198","0","72970","701168"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60845","0","24220","85065"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24385","0","12199","36584"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137096","0","65348","202444"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94466","0","40019","134485"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34172","0","17016","51188"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21851","0","7149","29000"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9461","0","4455","13916"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23455","0","8964","32419"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94396","0","61521","155917"
"Pfizer","National","eastern cape","Adults","1289692","1066659","122967","2479318"
"Pfizer","National","eastern cape","12-17 Years","218087","37729","0","255816"
"Pfizer","National","free state","12-17 Years","151394","49182","0","200576"
"Pfizer","National","free state","Adults","645704","559124","75892","1280720"
"Pfizer","National","gauteng","12-17 Years","355106","114040","2","469148"
"Pfizer","National","gauteng","Adults","3775238","3219667","435535","7430440"
"Pfizer","National","kwazulu-natal","Adults","1881495","1539473","210690","3631658"
"Pfizer","National","kwazulu-natal","12-17 Years","220912","52550","2","273464"
"Pfizer","National","limpopo","Adults","1002531","832841","90072","1925444"
"Pfizer","National","limpopo","12-17 Years","216745","52408","0","269153"
"Pfizer","National","mpumalanga","12-17 Years","109676","22670","0","132346"
"Pfizer","National","mpumalanga","Adults","541361","440064","55887","1037312"
"Pfizer","National","northern cape","12-17 Years","23696","6709","0","30405"
"Pfizer","National","northern cape","Adults","215289","182848","18783","416920"
"Pfizer","National","north west","12-17 Years","133821","29745","0","163566"
"Pfizer","National","north west","Adults","597405","509598","64843","1171846"
"Pfizer","National","western cape","12-17 Years","129512","45018","2","174532"
"Pfizer","National","western cape","Adults","2072396","1804314","337898","4214608"
