"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10689","4478","15167"
"National","eastern cape","Private Health","Male","8870","3412","12282"
"National","eastern cape","Public Health","Female","110873","19017","129890"
"National","eastern cape","Public Health","Male","89003","12595","101598"
"National","free state","Private Health","Female","8726","3427","12153"
"National","free state","Private Health","Male","7070","2568","9638"
"National","free state","Public Health","Female","73790","25955","99745"
"National","free state","Public Health","Male","62254","18544","80798"
"National","gauteng","Private Health","Female","54001","26359","80360"
"National","gauteng","Private Health","Male","48798","22105","70903"
"National","gauteng","Public Health","Female","141455","39686","181141"
"National","gauteng","Public Health","Male","111333","29369","140702"
"National","kwazulu-natal","Private Health","Female","17590","8885","26475"
"National","kwazulu-natal","Private Health","Male","15747","7531","23278"
"National","kwazulu-natal","Public Health","Female","112352","23266","135618"
"National","kwazulu-natal","Public Health","Male","76234","14801","91035"
"National","limpopo","Private Health","Female","10173","4050","14223"
"National","limpopo","Private Health","Male","8105","2948","11053"
"National","limpopo","Public Health","Female","108563","26896","135459"
"National","limpopo","Public Health","Male","90873","20242","111115"
"National","mpumalanga","Private Health","Female","4039","1467","5506"
"National","mpumalanga","Private Health","Male","3495","1274","4769"
"National","mpumalanga","Public Health","Female","56751","12154","68905"
"National","mpumalanga","Public Health","Male","46780","8810","55590"
"National","northern cape","Private Health","Female","2129","930","3059"
"National","northern cape","Private Health","Male","1894","677","2571"
"National","northern cape","Public Health","Female","10926","3055","13981"
"National","northern cape","Public Health","Male","8766","2260","11026"
"National","north west","Private Health","Female","5214","2132","7346"
"National","north west","Private Health","Male","4676","1779","6455"
"National","north west","Public Health","Female","67881","15517","83398"
"National","north west","Public Health","Male","56653","11212","67865"
"National","western cape","Private Health","Female","23584","11015","34599"
"National","western cape","Private Health","Male","20919","9253","30172"
"National","western cape","Public Health","Female","46542","14221","60763"
"National","western cape","Public Health","Male","38436","11527","49963"
