"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","501283"
"kwazulu-natal","Private Health","1166997"
"western cape","Private Health","1802889"
"limpopo","Private Health","557294"
"northern cape","Public Health","533865"
"gauteng","Private Health","4275140"
"kwazulu-natal","Public Health","4115982"
"free state","Public Health","1672574"
"north west","Public Health","1625266"
"gauteng","Public Health","5381371"
"mpumalanga","Private Health","377598"
"mpumalanga","Public Health","1665942"
"northern cape","Private Health","147130"
"eastern cape","Private Health","648819"
"western cape","Public Health","3495178"
"limpopo","Public Health","2805797"
"free state","Private Health","367497"
"eastern cape","Public Health","3112838"
